Date,ARIMA_Forecast,Prophet_Forecast
2025-07-01,317.71389495986426,348.936062627862
2025-07-02,317.5881197284824,350.51884000347053
2025-07-03,317.62173314090296,351.6123521137911
2025-07-04,317.5827254511598,354.00095391501844
2025-07-05,317.5977061593327,366.59063898636276
2025-07-06,317.5849170770245,368.4635157725818
2025-07-07,317.59089627243884,361.00314102937125
2025-07-08,317.58654123785874,362.0591644904991
2025-07-09,317.5888139747981,363.3652588951539
2025-07-10,317.58729505549366,364.0548006582741
2025-07-11,317.5881382331311,365.91721127686134
2025-07-12,317.58760081074456,377.86640716132206
2025-07-13,317.5879096676537,378.9951085374236
2025-07-14,317.5877179204302,370.6999326364479
2025-07-15,317.5878302794894,370.8457314512158
2025-07-16,317.5877615378578,371.18315637664244
2025-07-17,317.5878022590833,370.86392489456114
2025-07-18,317.5877775482986,371.6967106851928
2025-07-19,317.58779227576406,382.61511723682656
2025-07-20,317.58778337934973,382.73149871821346
2025-07-21,317.58778869960247,373.46156681019414
2025-07-22,317.58778549396317,372.68825722432433
2025-07-23,317.58778741464977,372.1788512589091
2025-07-24,317.587786259011,371.09983978958513
2025-07-25,317.5877869521569,371.27246216423157
2025-07-26,317.5877865354355,381.6403896899206
2025-07-27,317.58778678553085,381.32332534238924
2025-07-28,317.58778663523935,371.7414642818728
2025-07-29,317.5877867254667,370.7792926406387
2025-07-30,317.5877866712592,370.20272141442985
2025-07-31,317.5877867038086,369.17404203542196
2025-08-01,317.587786684256,369.5076330050876
2025-08-02,317.58778669599775,380.13788199993303
2025-08-03,317.58778668894496,380.1730877802695
2025-08-04,317.58778669318053,371.0202773743925
2025-08-05,317.5877866906365,370.54940534939027
2025-08-06,317.5877866921644,370.510920118671
2025-08-07,317.5877866912467,370.0511711018823
2025-08-08,317.5877866917979,370.96857285112776
2025-08-09,317.5877866914669,382.18197717902814
2025-08-10,317.5877866916657,382.7850045217164
2025-08-11,317.5877866915463,374.17125757948736
2025-08-12,317.587786691618,374.19887264695006
2025-08-13,317.58778669157493,374.6083835510653
2025-08-14,317.5877866916008,374.5383636427751
2025-08-15,317.5877866915853,375.7817554919996
2025-08-16,317.5877866915946,387.2543349539932
2025-08-17,317.587786691589,388.0490586950282
2025-08-18,317.5877866915923,379.5612183579575
2025-08-19,317.5877866915903,379.65285919522245
2025-08-20,317.5877866915915,380.07044270454213
2025-08-21,317.58778669159074,379.9602253927232
2025-08-22,317.5877866915912,381.1242718586208
2025-08-23,317.5877866915909,392.4885590081124
2025-08-24,317.5877866915911,393.15693193475414
2025-08-25,317.58778669159096,384.5358470472604
2025-08-26,317.587786691591,384.498373257376
2025-08-27,317.58778669159096,384.80144394115706
2025-08-28,317.58778669159096,384.6008447758183
2025-08-29,317.58778669159096,385.7068680248316
2025-08-30,317.58778669159096,397.0521014988368
2025-08-31,317.58778669159096,397.7451228273642
2025-09-01,317.58778669159096,389.19504310352363
2025-09-02,317.58778669159096,389.2753773163865
2025-09-03,317.58778669159096,389.7412388017385
2025-09-04,317.58778669159096,389.7443451052199
2025-09-05,317.58778669159096,391.0887658191325
2025-09-06,317.58778669159096,402.6988783001197
2025-09-07,317.58778669159096,403.67329733129407
2025-09-08,317.58778669159096,395.40971609918046
2025-09-09,317.58778669159096,395.76912727672334
2025-09-10,317.58778669159096,396.4934111398278
2025-09-11,317.58778669159096,396.7207664259972
2025-09-12,317.58778669159096,398.24190177319133
2025-09-13,317.58778669159096,409.96844025731446
2025-09-14,317.58778669159096,410.9872894336737
2025-09-15,317.58778669159096,402.6859007303336
2025-09-16,317.58778669159096,402.91687399797485
2025-09-17,317.58778669159096,403.41588208390203
2025-09-18,317.58778669159096,403.3173803644616
2025-09-19,317.58778669159096,404.4110099143538
2025-09-20,317.58778669159096,415.61013956285996
2025-09-21,317.58778669159096,416.0062940924606
2025-09-22,317.58778669159096,406.9943895584222
2025-09-23,317.58778669159096,406.43723104496195
2025-09-24,317.58778669159096,406.08324964285146
2025-09-25,317.58778669159096,405.081947866465
2025-09-26,317.58778669159096,405.23996872671773
2025-09-27,317.58778669159096,415.48924232522694
2025-09-28,317.58778669159096,414.94096767974276
